Posittion,RaceName,SeasonYear,RaceNumber,RaceDate,DriverFirstName,DriverLastName,DriverID,StartingGridNumb,ConstructorName
3,Chinese Grand Prix,2018,3,2018-04-15,Kimi,Räikkönen,raikkonen,2,Ferrari
3,Azerbaijan Grand Prix,2018,4,2018-04-29,Sergio,Pérez,perez,8,Force India
3,Spanish Grand Prix,2018,5,2018-05-13,Max,Verstappen,max_verstappen,5,Red Bull
3,Monaco Grand Prix,2018,6,2018-05-27,Lewis,Hamilton,hamilton,3,Mercedes
3,Canadian Grand Prix,2018,7,2018-06-10,Max,Verstappen,max_verstappen,3,Red Bull
3,French Grand Prix,2018,8,2018-06-24,Kimi,Räikkönen,raikkonen,6,Ferrari
3,Austrian Grand Prix,2018,9,2018-07-01,Sebastian,Vettel,vettel,6,Ferrari
3,British Grand Prix,2018,10,2018-07-08,Kimi,Räikkönen,raikkonen,3,Ferrari
3,German Grand Prix,2018,11,2018-07-22,Kimi,Räikkönen,raikkonen,3,Ferrari
3,Hungarian Grand Prix,2018,12,2018-07-29,Kimi,Räikkönen,raikkonen,3,Ferrari
3,Belgian Grand Prix,2018,13,2018-08-26,Max,Verstappen,max_verstappen,7,Red Bull
3,Italian Grand Prix,2018,14,2018-09-02,Valtteri,Bottas,bottas,4,Mercedes
3,Singapore Grand Prix,2018,15,2018-09-16,Sebastian,Vettel,vettel,3,Ferrari
3,Russian Grand Prix,2018,16,2018-09-30,Sebastian,Vettel,vettel,3,Ferrari
3,Japanese Grand Prix,2018,17,2018-10-07,Max,Verstappen,max_verstappen,3,Red Bull
3,United States Grand Prix,2018,18,2018-10-21,Lewis,Hamilton,hamilton,1,Mercedes
3,Mexican Grand Prix,2018,19,2018-10-28,Kimi,Räikkönen,raikkonen,6,Ferrari
3,Brazilian Grand Prix,2018,20,2018-11-11,Kimi,Räikkönen,raikkonen,4,Ferrari
3,Abu Dhabi Grand Prix,2018,21,2018-11-25,Max,Verstappen,max_verstappen,6,Red Bull
